I had seen this movie before, but I could not remember it was this fantastic: it has a fun plot, Madonna fumbles around the city with pumas etc. causing a commotion. And the music is just perfect! And the happy ending! Who´s that girl is a great choice for a romanticist like me. In my opinion this could be even the best Madonna movie I have ever seen! 10/10	POS	POS,A20ALQT1HIVSAH,6236

Gorgeous Annie Belle in her prime stars in this adventure/sex movie. She wears her hair in a buzz cut that is bleached platinum. She and her boyfriend are visiting some tropical Asian paradise. They have decided to keep an "open" sexual relationship, which is played out on their journey to find a secret society/tribe where the people live one year and then are reborn in some kind of ceremony. The scenery is gorgeous, deep vast green gorges and jungles are explored. The imagery is very similar to that of the movie "Black Emanuelle". It is rich and colorful. Recommended!	POS	POS,A20ALQT1HIVSAH,3849

As one who frequently goes to the movies, I have to say that this has been one of the most impressive movies I have seen this year. Ed Harris and Cuba Gooding Jr. gave outstanding performances allowing viewers to get lost in the various emotions and really feel for the characters. It is nice to occasionally see a movie that does not depend entirely upon special effects but allows the characters of the story to touch the human psyche on many levels. I wish Hollywood would produce more movies of this calibre.	POS	POS,A20ALQT1HIVSAH,4747

A funny thing happened to me while watching "Mosquito": on the one hand, the hero is a deaf-mute and the director is totally unable to make us understand why he does what he does (mutilating mannequins...er, excuse me, corpses) through his images. On the other hand, the English version at least is very badly dubbed. So I found myself wishing there had been both more AND less dialogue at the same time! This film is stupid (funny how this guy has access to every graveyard and mortuary in his town) and lurid (where would we be in a 70s exploitationer without our gratuitous lesbian scene?). Not to mention the "romantic" aspect (oh, how sweet!)...Miss it. (*)	NEG	NEG,A20ALQT1HIVSAH,9018

When I saw this on TV I was nervous...whats if they messed it up? Millions of families like mine that live with a brain damaged man, in my case my Dad, would be let down. I watched it with my Mum and we both ended up crying, it was so accurate and captured how the family feels as well as the person having suffered the brain injury. The actors were all wonderful and I had no complaints, my Mums told me she hasn't been able to stop thinking about it. I hope this program made many people aware of what it's like living with brain damage and what it's like for the families. More programs like this should be made, I was surprised at how good it was and it's really shook me up emotionally.	POS	POS,A20ALQT1HIVSAH,5433

One of the funniest, most romantic, and most musical movies ever; definitely worth renting/buying especially if you have a taste for older style of cinematography.<br /><br /> The animals and the songs alone will make you smile while watching the movie. A definite must for Madonna fans. :o)	POS	POS,A20ALQT1HIVSAH,4950

A gem of a cartoon from the silent era---it was re-discovered by CARTOON NETWORK, and was broadcast for likely the first time in decades, if ever.<br /><br />What makes this so enjoyable are the varied cameos...Douglas Fairbanks is attacked by giant mosquitos; Will Hays pays a visit as 'boss' of Static Studios; as well as appearances by Chaplin, Keaton, and William S. Hart. The image of chewing gum decimating the shoes of the populace (a money-making idea for Felix's near-bankrupt shoe-=salesman boss) cannot be described--it must be viewed. A terrific cultural gem.	POS	POS,A20ALQT1HIVSAH,3947

