I had seen this movie before, but I could not remember it was this fantastic: it has a fun plot, Madonna fumbles around the city with pumas etc. causing a commotion. And the music is just perfect! And the happy ending! Who´s that girl is a great choice for a romanticist like me. In my opinion this could be even the best Madonna movie I have ever seen! 10/10	POS	POS,AYDILOZLKOAS8,3754

Gorgeous Annie Belle in her prime stars in this adventure/sex movie. She wears her hair in a buzz cut that is bleached platinum. She and her boyfriend are visiting some tropical Asian paradise. They have decided to keep an "open" sexual relationship, which is played out on their journey to find a secret society/tribe where the people live one year and then are reborn in some kind of ceremony. The scenery is gorgeous, deep vast green gorges and jungles are explored. The imagery is very similar to that of the movie "Black Emanuelle". It is rich and colorful. Recommended!	POS	POS,AYDILOZLKOAS8,6265

As one who frequently goes to the movies, I have to say that this has been one of the most impressive movies I have seen this year. Ed Harris and Cuba Gooding Jr. gave outstanding performances allowing viewers to get lost in the various emotions and really feel for the characters. It is nice to occasionally see a movie that does not depend entirely upon special effects but allows the characters of the story to touch the human psyche on many levels. I wish Hollywood would produce more movies of this calibre.	POS	POS,AYDILOZLKOAS8,3116

A funny thing happened to me while watching "Mosquito": on the one hand, the hero is a deaf-mute and the director is totally unable to make us understand why he does what he does (mutilating mannequins...er, excuse me, corpses) through his images. On the other hand, the English version at least is very badly dubbed. So I found myself wishing there had been both more AND less dialogue at the same time! This film is stupid (funny how this guy has access to every graveyard and mortuary in his town) and lurid (where would we be in a 70s exploitationer without our gratuitous lesbian scene?). Not to mention the "romantic" aspect (oh, how sweet!)...Miss it. (*)	NEG	NEG,AYDILOZLKOAS8,11610

When I saw this on TV I was nervous...whats if they messed it up? Millions of families like mine that live with a brain damaged man, in my case my Dad, would be let down. I watched it with my Mum and we both ended up crying, it was so accurate and captured how the family feels as well as the person having suffered the brain injury. The actors were all wonderful and I had no complaints, my Mums told me she hasn't been able to stop thinking about it. I hope this program made many people aware of what it's like living with brain damage and what it's like for the families. More programs like this should be made, I was surprised at how good it was and it's really shook me up emotionally.	POS	POS,AYDILOZLKOAS8,5644

One of the funniest, most romantic, and most musical movies ever; definitely worth renting/buying especially if you have a taste for older style of cinematography.<br /><br /> The animals and the songs alone will make you smile while watching the movie. A definite must for Madonna fans. :o)	POS	POS,AYDILOZLKOAS8,2376

A gem of a cartoon from the silent era---it was re-discovered by CARTOON NETWORK, and was broadcast for likely the first time in decades, if ever.<br /><br />What makes this so enjoyable are the varied cameos...Douglas Fairbanks is attacked by giant mosquitos; Will Hays pays a visit as 'boss' of Static Studios; as well as appearances by Chaplin, Keaton, and William S. Hart. The image of chewing gum decimating the shoes of the populace (a money-making idea for Felix's near-bankrupt shoe-=salesman boss) cannot be described--it must be viewed. A terrific cultural gem.	POS	POS,AYDILOZLKOAS8,2672

I actually flipped to Lifetime channel by mistake, just as this movie was beginning, and ended-up watching it. <br /><br />It certainly deals with a serious issue, probably more prevalent than we realize, in terms of this type of attack of a young woman by an ego-maniacal fellow-student, who feels he's above the system, and, unfortunately, often is.<br /><br />The cast here was believable, and the performances credible. A lot of these Canadian/Lifetime flicks are decidedly "over-the-top." However, this is one I might label as "under-the-top."<br /><br />While appreciating the fact that it wasn't presented in an overblown fashion, this film somehow seemed like a record being played at a slower speed than proper, the 96 minutes seemed like many more, and it had the effect of looking like a shorter film, looped over-and-over, seemingly going on and on and on and ON - before reaching its inevitable and predictable conclusion.<br /><br />Yet the engaging characters and performances made it better than the average film of this type, despite these criticisms.<br /><br />And while these pictures often "milk" the climax, this one could have given it a bit more detail and length.	POS	POS,AYDILOZLKOAS8,11854

Imagine every stereotypical, overacted cliche from every movie and TV show set on the streets of Brooklyn between 1930 and 1980. Populate it with a cast of interchangeable caricatures instead of actual characters. Throw in a mix of "period" music and wailing electric guitars during the "rumble" scenes. Then pass the time trying to figure out (or care) which of the Deuces is going to be killed in the (anti)climactic final rumble.<br /><br />I'll give this movie points for not being just another romantic comedy, teen slasher, explosive action movie, teen sex comedy, kiddie musical, or Oscar-nomination vehicle. But bringing something new or interesting to the street-gang tragedy genre might've been nice.	NEG	NEG,AYDILOZLKOAS8,12429

1980 was certainly a year for bad backwoods slasher movies. "Friday The 13th" and "The Burning" may have been the best ones but there were like always a couple of stinkers not far behind like "Don't Go Into The Woods Alone" and this one. But in all fairness "The Prey" is nowhere near as bad as "Don't Go Into The Woods" but it's still not great either. One thing is that it's just boring and acting isn't very good but much better than "DGITW" and this movie actually has some attractive looking females to look at, all three of the female leads were stunning. One thing what is up with all that pointless wildlife footage it just seemed pointless and it looked as the director used that to just used that to fill up some time space.<br /><br />So, what was there to like about this movie? Well, there were a few laugh out loud cheese moments- I couldn't contain a fit of giggles when the final girl did a bizarre type of backwards moon-walk to get away from the kille and there were a few good kill scenes- my favourites being the girl suffocated to death with the sleeping bag; and the phoney looking.<br /><br />All in all The Prey is dumb, boring and the killer I didn't find scary at all, this movie could have been a whole lot better.	NEG	NEG,AYDILOZLKOAS8,4965

There are a whole lot of movies, primarily from the 80s, that are so terrible that you can't help but love them. The Last Slumber Party is one of those. I hate this movie so much, but it still remains one of the most watched movies in my collection. I have watched it countless times and get a huge laugh out of it every time. It is the prime example of how in the 80s, ANY movie could get released.<br /><br />Our killers name is Maniac Randles. (Scary, huh?) Randles is an escaped psychopathic killer running around in doctor's scrubs and a doctor's jacket hacking off people with a scalpel as he goes along. He ends up coming across a house of girls that are having a slumber party. One of the girls is the daughter of the doctor that tried to operate on Randle's, and Randle's ended up pulling him down in some kind of sexual position. (lol just watch the movie to know what I am talking about.) Now I know what you must be thinking at this point: This must be another cheesy low budget hack and slash flick like Slumber Party Massacre, or Valentine's Day Massacre, right? NO! This movie is HORRIBLE! First off, the quality of the film changes off and on throughout the film. Sometimes it will look like it could have been filmed this year, but other times it is so grainy and blurry that it isn't even watchable. The funny thing is that certain specific camera angles will be blurry and grainy, and other specific camera angles will be clear and perfect, which is absolutely ridiculous and proves that they did not care at all.<br /><br />The director played the killer (as if that wasn't funny enough) but because of the fact that he wasn't talented enough to act and direct at the same time, he just filmed one shot of him walking toward the camera with his scalpel, and then just replayed that clip over and over every time someone is killed.<br /><br />The characters in this movie are completely ridiculous and unlikable, and these people who are suppose to be ages 16-18 look more like they are 25-45. I know that slasher films commonly use adults as teenagers, but I have never seen a movie where it was THIS obvious. My guess is that the reason none of them are still in the film industry today is because they have all died of old age... Or maybe it was just because this movie was so horrible that they never wanted to show their faces again, and that is a good thing because I highly doubt that they could have gotten into any more movies even if they tried. All I can do is hope that Tyler will one day make THE LAST SLUMBER PARTY 2: THE FINAL CONFLICT and have all of the original actors return. I'm sure everyone would love that.<br /><br />The movie was directed by Stephen Tyler, (No, not the singer) who never went on to direct again, and it was released by B&S (which I am sure stands for bull and ****) Productions. Bull&S only released one more film, "Forever Evil," which was pretty awful, but not near as bad as Last Slumber Party.<br /><br />A horrible, horrible, horrible film... Highly recommended.	POS	POS,AYDILOZLKOAS8,7502

There were many 'spooky' westerns made in the 30s and early 40s, and although this has a strong beginning, it isn't one. Randy Bowers (John Wayne) stopping at a 'Halfway House' saloon, finds it to be full of dead bodies, the bartender's corpse draped over the bar holding a gun, eyes watching Randy from behind holes cut through eyes in a picture, and a player piano playing "The Loveliest Night of the Year." <br /><br />It was the result of a robbery by the Marvin Black gang, to get Ed Rogers' $30,000. Randy is an investigator who "works alone," who wastes little time in getting arrested, escaping (with Ed's daughter Sally's help) and literally landing in the midst of the Black gang's hideout behind a waterfall. It all moves along fairly quickly. Only one too many chases after Randy slow it down.<br /><br />We even get George Hayes, clean shaven and playing two parts-- Marvin Black, the vilest villain, as well as the Good Citizen, Matt the Mute, who communicates via handwritten messages. Having him play two opposite roles was a good idea, but the writing down of messages thing gets old real fast, even for him, as he finally gives up doing it near the end saying to Sally, "Ah, I'm fed up with this!" You can find George playing a vile, vile, double crossing villain in the serial "The Lost City" (1934).<br /><br />I think this is the only 'Lone Star' film in which the title relates to, or is mentioned in the film! Sally offers her hand to Randy and says, "He's not alone anymore!" Then cut to their arms around each other as they look out facing a lake. Sally's running off with Randy seems too abrupt and not sufficiently prepared for. Too much time spent on horseback escaping the sheriff.<br /><br />Not that bad considering everything, but not that great either. I'd really give it a 4 and a half.	POS	POS,AYDILOZLKOAS8,14680

There are one or two other Shemp-era shorts I like more (i.e. SCRAMBLED BRAINS), but I think one can say--without much argument--that in this particular episode, Shemp gives his greatest comedic performance as a stooge after rejoining the team in 1946.<br /><br />Scene for scene, this episode hardly lets up: from Professor Shemp Howard's voice lessons with the glass-shattering Dee Green, to his futile attempts to win a dame's hand in marriage (this is your little snookums... will you marry me *click*) to the uproarious finish, it never fails to keep me in stitches.<br /><br />I would be remiss not mention that immortal scene with Miss Hopkins (the always lovely Christine McIntyre). Btw, isn't she rather under-dressed and over amorous in greeting the man she thinks is her 'Cousin' Basil? Who knows, maybe the actual Basil was a "very" distant cousin, which makes it legal in some states (as far as I know). >:-]	POS	POS,AYDILOZLKOAS8,4745

